"periodo_denuncia","anio_denuncia","fecha_descarga","distrito_fiscal","especialidad","tipo_caso","generico","subgenerico","articulo","des_articulo","cantidad","ubigeo_pjfs","dpto_pjfs","prov_pjfs","dist_pjfs","fecha_corte"
"ENERO - DICIEMBRE","2023","1/8/2024","AMAZONAS","PENAL","DENUNCIA","CONTRA EL HONOR","INJURIA,CALUMNIA Y DIFAMACION","130","Injuria","2","010101","AMAZONAS","CHACHAPOYAS","CHACHAPOYAS","1/24/2024"
"ENERO - DICIEMBRE","2023","1/8/2024","AMAZONAS","PENAL","DENUNCIA","CONTRA EL HONOR","INJURIA,CALUMNIA Y DIFAMACION","131","Calumnia","5","010101","AMAZONAS","CHACHAPOYAS","CHACHAPOYAS","1/24/2024"
"ENERO - DICIEMBRE","2023","1/8/2024","AMAZONAS","PENAL","DENUNCIA","CONTRA EL HONOR","INJURIA,CALUMNIA Y DIFAMACION","132","Difamación","9","010101","AMAZONAS","CHACHAPOYAS","CHACHAPOYAS","1/24/2024"
"ENERO - DICIEMBRE","2023","1/8/2024","AMAZONAS","PENAL","DENUNCIA","CONTRA EL ORDEN ECONOMICO","DE OTROS DELITOS ECONOMICOS","241-A","Corrupción en el ámbito privado","1","010101","AMAZONAS","CHACHAPOYAS","CHACHAPOYAS","1/24/2024"
"ENERO - DICIEMBRE","2023","1/8/2024","AMAZONAS","PENAL","DENUNCIA","CONTRA EL ORDEN FINANCIERO Y MONETARIO","DELITOS FINANCIEROS","246","Instituciones financieras ilegales","1","010101","AMAZONAS","CHACHAPOYAS","CHACHAPOYAS","1/24/2024"
"ENERO - DICIEMBRE","2023","1/8/2024","AMAZONAS","PENAL","DENUNCIA","CONTRA EL ORDEN FINANCIERO Y MONETARIO","DELITOS FINANCIEROS","247","Financiamiento por medio de información fraudulenta","2","010101","AMAZONAS","CHACHAPOYAS","CHACHAPOYAS","1/24/2024"
"ENERO - DICIEMBRE","2023","1/8/2024","AMAZONAS","PENAL","DENUNCIA","CONTRA EL ORDEN FINANCIERO Y MONETARIO","DELITOS MONETARIOS","252","Fabricación y falsificación de moneda de curso legal","1","010101","AMAZONAS","CHACHAPOYAS","CHACHAPOYAS","1/24/2024"
"ENERO - DICIEMBRE","2023","1/8/2024","AMAZONAS","PENAL","DENUNCIA","CONTRA EL ORDEN FINANCIERO Y MONETARIO","DELITOS MONETARIOS","254","Tráfico de moneda falsa","12","010101","AMAZONAS","CHACHAPOYAS","CHACHAPOYAS","1/24/2024"
"ENERO - DICIEMBRE","2023","1/8/2024","AMAZONAS","PENAL","DENUNCIA","CONTRA EL PATRIMONIO","ABIGEATO","189-A","Hurto de ganado","61","010101","AMAZONAS","CHACHAPOYAS","CHACHAPOYAS","1/24/2024"
"ENERO - DICIEMBRE","2023","1/8/2024","AMAZONAS","PENAL","DENUNCIA","CONTRA EL PATRIMONIO","ABIGEATO","189-B","Hurto de uso de ganado","9","010101","AMAZONAS","CHACHAPOYAS","CHACHAPOYAS","1/24/2024"
"ENERO - DICIEMBRE","2023","1/8/2024","AMAZONAS","PENAL","DENUNCIA","CONTRA EL PATRIMONIO","ABIGEATO","189-C","Robo de ganado ","2","010101","AMAZONAS","CHACHAPOYAS","CHACHAPOYAS","1/24/2024"
"ENERO - DICIEMBRE","2023","1/8/2024","AMAZONAS","PENAL","DENUNCIA","CONTRA EL PATRIMONIO","APROPIACION ILICITA","190","Apropiación ilícita común","82","010101","AMAZONAS","CHACHAPOYAS","CHACHAPOYAS","1/24/2024"
"ENERO - DICIEMBRE","2023","1/8/2024","AMAZONAS","PENAL","DENUNCIA","CONTRA EL PATRIMONIO","APROPIACION ILICITA","191","Sustracción de bien propio","1","010101","AMAZONAS","CHACHAPOYAS","CHACHAPOYAS","1/24/2024"
"ENERO - DICIEMBRE","2023","1/8/2024","AMAZONAS","PENAL","DENUNCIA","CONTRA EL PATRIMONIO","APROPIACION ILICITA","192","Apropiación irregular","10","010101","AMAZONAS","CHACHAPOYAS","CHACHAPOYAS","1/24/2024"
"ENERO - DICIEMBRE","2023","1/8/2024","AMAZONAS","PENAL","DENUNCIA","CONTRA EL PATRIMONIO","APROPIACION ILICITA","193","Apropiación de prenda","1","010101","AMAZONAS","CHACHAPOYAS","CHACHAPOYAS","1/24/2024"
"ENERO - DICIEMBRE","2023","1/8/2024","AMAZONAS","PENAL","DENUNCIA","CONTRA EL PATRIMONIO","APROPIACION ILICITA","S/Art","APROPIACIÓN ILÍCITA","3","010101","AMAZONAS","CHACHAPOYAS","CHACHAPOYAS","1/24/2024"
"ENERO - DICIEMBRE","2023","1/8/2024","AMAZONAS","PENAL","DENUNCIA","CONTRA EL PATRIMONIO","CONTRA EL PATRIMONIO (Sin especificar delito subgenérico)","S/Art","CONTRA EL PATRIMONIO","71","010101","AMAZONAS","CHACHAPOYAS","CHACHAPOYAS","1/24/2024"
"ENERO - DICIEMBRE","2023","1/8/2024","AMAZONAS","PENAL","DENUNCIA","CONTRA EL PATRIMONIO","DAÑOS","205","Daño simple","621","010101","AMAZONAS","CHACHAPOYAS","CHACHAPOYAS","1/24/2024"
"ENERO - DICIEMBRE","2023","1/8/2024","AMAZONAS","PENAL","DENUNCIA","CONTRA EL PATRIMONIO","DAÑOS","206","Formas agravadas","71","010101","AMAZONAS","CHACHAPOYAS","CHACHAPOYAS","1/24/2024"
"ENERO - DICIEMBRE","2023","1/8/2024","AMAZONAS","PENAL","DENUNCIA","CONTRA EL PATRIMONIO","DAÑOS","206-A","Abandono y actos de crueldad contra animales domésticos y silvestres","20","010101","AMAZONAS","CHACHAPOYAS","CHACHAPOYAS","1/24/2024"
"ENERO - DICIEMBRE","2023","1/8/2024","AMAZONAS","PENAL","DENUNCIA","CONTRA EL PATRIMONIO","DAÑOS","S/Art","DAÑOS","46","010101","AMAZONAS","CHACHAPOYAS","CHACHAPOYAS","1/24/2024"
